file_name,transcription,p_scores
013340137.WAV,B IH K AO Z Y UW W AA N T IH D T UW D UH IH T R AY T,2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.6 2.0 1.8 2.0 1.8 2.0 2.0 2.0 2.0 2.0
013340147.WAV,K AE N W IY JH AH S T K AO L IH T AH D EY,2.0 2.0 2.0 1.2 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0
013340159.WAV,W AY W UH D Y UW D UH DH IH S T UW M IY N AW,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.6 2.0 2.0 2.0 1.6 2.0 2.0 2.0 2.0 1.8
013340204.WAV,HH OW P IH Z AH S AY N AH V D IH S P EH R,2.0 2.0 2.0 2.0 1.8 1.6 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0
013340217.WAV,DH EY EH R AH N DH AH S AY D AH V AH N D ER S T AE N D IH NG,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.6 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
013340243.WAV,HH EH L P S M IY T UW HH AE V AH G OW AE T M AY S EH L F,2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.6 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0
013340245.WAV,F IY L Z G UH D T UW G EH T DH AE T AW T AH V DH AH W EY,2.0 2.0 1.6 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
013340255.WAV,DH IH S IH Z G OW IH NG T UW B IY AH B IH Z IY IY V N IH NG,2.0 2.0 2.0 1.6 1.6 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.4 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0
013340259.WAV,DH IH S IH Z DH AH OW N L IY TH IH NG P IY P L G EH T IH N L AY F,2.0 2.0 2.0 2.0 1.8 2.0 1.8 1.8 2.0 2.0 2.0 1.6 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 1.6 1.6 2.0 1.6 1.6
013340277.WAV,W EH L DH IH S IH Z AH N Y UW W AH N,2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.6 2.0 2.0 2.0 2.0 2.0 2.0 2.0
013340291.WAV,W IY N OW AH G R EY T P L EY S T UW S T EY,1.6 1.6 2.0 2.0 2.0 2.0 2.0 1.8 1.6 2.0 1.6 1.6 2.0 1.6 2.0 2.0 2.0 2.0
013340297.WAV,B IH K AO Z AH V K AO R S DH IH S IH Z AH TH IH NG,2.0 2.0 2.0 2.0 1.8 2.0 1.8 1.2 2.0 1.6 0.8 2.0 2.0 2.0 2.0 1.8 1.6 1.2 2.0 2.0
013340313.WAV,IH T S N AH T HH IH Z N AW B AH T M AY N,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
013340345.WAV,R UW T P UH T HH IH Z SH OW L D ER T UW DH AH D AO R,2.0 1.8 2.0 2.0 2.0 2.0 1.8 2.0 2.0 1.0 1.4 1.4 0.6 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
013340375.WAV,HH IY T AO K T M AO R DH AE N EH N IY W AH N IH N DH AH R UW M,2.0 2.0 1.2 2.0 1.6 1.6 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 1.8
013340378.WAV,DH EY AO L W AA N T IH D T UW S T AH P IH T,1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.6 1.2 1.6 2.0 2.0 1.6 2.0 2.0 2.0
013360001.WAV,AA F Y UW CH ER IH Z N EH V ER T R AE P T IH N DH AH HH AE N D Z AA N AH V F EY T,0.8 2.0 2.0 2.0 2.0 1.6 2.0 2.0 0.6 2.0 1.6 1.6 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.0 1.0 1.2 1.2 1.8 1.8 2.0 2.0 2.0
013360002.WAV,HH IY HH AE D AH HH AA T AH V G AA D,2.0 1.8 2.0 2.0 2.0 2.0 2.0 1.2 2.0 2.0 1.8 2.0 2.0 2.0
013360016.WAV,W IY K AH M IH N W IH TH AH K AE N D IH D EY T,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 0.8 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0
013360082.WAV,IH T IH Z DH AH R IH Z AH L T AH V M EY JH AH R IH F AO M IH N DH AH K AH N T R IY,2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 1.8 2.0 2.0 1.8 2.0 2.0 2.0 2.0 1.6 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
013360123.WAV,IH T IH Z AH G UH D P OY N T,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
013360130.WAV,B AH T IY V N DH AE T IH Z P AA T AH V DH AH P OY N T,2.0 2.0 2.0 2.0 1.6 2.0 1.6 1.4 2.0 2.0 1.8 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0
013360140.WAV,HH AW IH Z IH T M AA CH AO L R EH D IY,2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.4 2.0 2.0
013360145.WAV,AH M EH N AH K AE M R AH AH B UH K,2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.4 1.2 0.8 2.0 2.0 2.0 2.0
013360146.WAV,S OW AY K AE N T EY K AH L IH S N,2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 1.6 1.2 2.0 2.0
013360161.WAV,W AA N T T UW B IY DH AH F ER S T T UW HH IH AH DH AH N Y UW Z,2.0 2.0 1.8 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 0.4 2.0 2.0 1.6
013360162.WAV,DH IH S IH Z AH W EY S T AH V M AH N IY,1.6 2.0 2.0 2.0 1.6 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 1.4 1.8 2.0
013360171.WAV,AY HH OW P Y UW W IH L HH AE V DH AH B EH S T B ER TH D EY,2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.4 1.8 2.0 2.0 2.0 1.6 2.0 2.0 2.0 2.0 2.0 2.0 1.4 1.8 2.0 2.0
013360226.WAV,W AH T T AY M W UH D Y UW L AY K T UW D UH,2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 1.8 2.0 1.8
013360234.WAV,T R AY IH NG T UW G EH T AH P AE N D G EH T R EH D IY F AO W ER K,2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 1.6 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.6 2.0 2.0 1.6 2.0 2.0 2.0 2.0 2.0 1.2 2.0
013360235.WAV,DH IH S IH Z DH AH B EH S T L AH N CH,2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0
013360257.WAV,DH EH N W IY HH AE V AH W IH N AH,2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.6
013360263.WAV,DH AH P IH K CH ER AH V DH AH N AY T,2.0 2.0 2.0 2.0 2.0 2.0 1.6 2.0 1.8 2.0 2.0 0.8 2.0 2.0
013360268.WAV,B AH T W IY HH AE V DH AH B R EY N Z,2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.0 2.0 1.4
013360360.WAV,DH EH R HH IY IH Z AH N DH AH B AE K S IY T,2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
013360363.WAV,HH IY S IY M D T UW SH EY K HH IH M S EH L F,2.0 1.8 2.0 2.0 2.0 2.0 2.0 1.8 1.6 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
013620027.WAV,IH T IH Z AH W ER L D P R AH B L AH M,2.0 2.0 2.0 1.8 1.8 2.0 2.0 1.2 2.0 2.0 1.8 1.8 2.0 2.0 2.0 2.0
013620030.WAV,HH IY Z AH T R UW T AY M P L EH IH AH R AH N DH AH AH F AH N F L AY T,2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.2 1.2 1.2 0.8 2.0 2.0 1.8 1.6 2.0 2.0 1.8 2.0 2.0 2.0 1.4 2.0
013620106.WAV,IH F Y UW M IH S DH EH R Z AH R EH R L IY K AH N S IH K W AH N S,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.6 2.0 2.0 2.0 2.0 2.0
013620108.WAV,B AH T DH EH R W AH Z N OW W AH N HH UW K UH D HH EH L P,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
013620128.WAV,G OW IH NG T UW G IH V AH G OW,2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0
013620137.WAV,W IY N IY D Y UW HH EH L P T UW K IY P IH T AH P,2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
013620140.WAV,AY K AE N S IY IH T B IY IH NG AH N Y UW T ER N D,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0
013620143.WAV,SH UH D B IY F AH N T UW S IY DH AH R IH Z AH L T S,2.0 2.0 2.0 2.0 2.0 2.0 1.4 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0
013620146.WAV,IH T S AH L AY AH V K AO R S,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
013620162.WAV,AA Y UW AE T DH AH K AA N S ER T,2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0
013620175.WAV,B AH T HH IY Z N AH T S AH P OW Z D T UW B IY G UH D,2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 1.8 2.0 2.0 2.0 1.8 1.4 1.4 2.0 1.8 2.0 2.0 2.0 2.0 2.0
013620184.WAV,F ER S T W AH N AH V DH AH IY V N IH NG,2.0 2.0 2.0 1.8 2.0 2.0 2.0 1.8 2.0 2.0 1.6 2.0 2.0 2.0 2.0 2.0
013620185.WAV,L IH V IH NG IH N DH AH B EY W IH TH AH W IH N IH N DH AH B EY,2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 0.6 2.0 2.0 2.0 1.8 2.0 2.0 2.0
013620210.WAV,W EH L K AH M T UW DH AH S T AA R T AH V DH AH W ER K W IY K,2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0
013620241.WAV,N IY D T UW G EH T DH AH R EH S T,2.0 2.0 2.0 2.0 1.8 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0
013620257.WAV,M EY K DH AH R AY T CH OY S P EH ER AH N T S,2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 1.8 1.8 2.0 2.0 2.0 2.0
013620258.WAV,D UH Y UW N OW DH AH AA N S AH,2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 1.8 2.0 2.0 2.0
013620292.WAV,DH AE T S DH AH T R EY D T AY M AY AA S K,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
013620361.WAV,B AH T IH T W AH Z S L OW W ER K,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8
013620366.WAV,DH EH N HH IY M EY D F AO HH OW M,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 1.8
013720023.WAV,AY HH AE D AH G R EY T T AY M,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
013720051.WAV,DH AE T W AH Z S ER T N L IY AE Z T AH F D EY IH N M AY L AY F,2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 1.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
013720070.WAV,AE N D AH V K AO R S IH T HH AE P AH N Z DH AE T W EY,2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0
013720082.WAV,DH EH R W AH Z N OW R IY Z N T UW T EY K HH IH M AW T,2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0
013720140.WAV,AE N D IH F S OW W IH L IH Z DH AH R IH AH L W AH N,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.2 1.8
013720152.WAV,EY EH M AY N AH T AH L AW D T UW L IY V M AY HH AW S,0.8 2.0 2.0 2.0 2.0 1.6 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 1.0 2.0
013720153.WAV,R EH D IY T UW G EH T D AW N T UW B IH Z N AH S,2.0 2.0 2.0 2.0 2.0 1.6 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.6 2.0 2.0 1.6 2.0 1.2 2.0
013720167.WAV,G EH T M IY AW T AH V HH IH AH P L IY Z,2.0 2.0 2.0 2.0 2.0 1.8 2.0 1.8 2.0 2.0 1.8 1.8 2.0 2.0 2.0 1.8
013720182.WAV,W IY K AE N N EH V ER HH AE V T UW M EH N IY F R EH N D Z,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 1.0 2.0 2.0 2.0
013720189.WAV,M AY G OW L IH N L AY F IH Z T UW B IY B EH T ER DH AE N Y UW,2.0 2.0 2.0 1.8 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
013720198.WAV,G R EY T T UW S IY Y UW B AE NG K AH N IH L,2.0 2.0 2.0 2.0 2.0 1.8 2.0 1.6 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
013720199.WAV,G OW IH NG T UW AH P L AY F AO AH JH AH B T AH D EY,2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.6 1.8 2.0 2.0 2.0 2.0 2.0
013720201.WAV,EH N IY TH IH NG T UW HH AE V Y UW HH IH AH AH G EH N,2.0 2.0 2.0 1.8 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 0.8 2.0
013720215.WAV,L EH T S G OW T UW DH AH F AA M,2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0
013720233.WAV,DH AE T W AH Z DH AH M EH S IH JH R AY T,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
013720256.WAV,B AH T Y UW N OW W AH T DH IH S M IY N R AY T,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.6 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
013720274.WAV,AY W AA N T T UW S IY Y UW IH N DH AH K W AO R T ER F AY N AH L Z,2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 1.6 2.0 2.0 2.0 2.0 2.0 2.0 1.6 1.2 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8
013720275.WAV,IH N DH AH M IY N T AY M IH N JH OY DH AH JH ER N IY,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
013720311.WAV,B AH T Y UW HH AE V T UW L IH S N D AA R L IH NG,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 0.0 1.6 2.0 2.0 2.0
013720360.WAV,HH AW G UH D IH T IH Z AH V Y UW T UW B IY HH IH AH,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 1.8 2.0 1.8 2.0 1.8 2.0 2.0 2.0
014040005.WAV,DH AH T ER K IY W EY K S AH P,2.0 2.0 2.0 1.6 2.0 1.8 2.0 0.4 1.6 2.0 2.0 2.0
014040013.WAV,K AH M AE N D S IY DH AH S K W IH D,2.0 2.0 1.6 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 0.0 0.4 1.6 1.4
014040027.WAV,SH IY L AH V Z K AE N AH D AH,1.8 1.8 2.0 0.0 2.0 0.0 2.0 2.0 2.0 2.0 2.0 1.6
014040028.WAV,EY T T UW W AH N W AH N,2.0 2.0 2.0 2.0 2.0 1.6 1.4 2.0 1.6 1.4
014040052.WAV,JH EY M IY L AY K S M AW N T N B AY K IH NG,0.2 0.0 0.2 0.2 0.4 0.0 0.4 0.4 0.0 0.0 0.0 0.0 0.0 0.4 0.0 0.4 0.4 0.4
014040072.WAV,L EH T S D R AO JH AE K S HH AE N D,2.0 2.0 2.0 2.0 2.0 2.0 2.0 0.8 0.8 0.4 0.4 1.6 0.0 0.8 1.2
014040081.WAV,B AY D AO R AH S SH OW L D AH,2.0 2.0 0.0 0.0 0.0 0.0 0.0 0.4 0.4 0.0 0.0 0.0
014040088.WAV,HH IH AH IH Z P IY T ER S S AH K S,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
014040089.WAV,HH IH AH IH Z T IH M S K AE P,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
014040090.WAV,HH IH AH IH Z M EH ER IH S SH UW Z,0.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
014040096.WAV,L UH K AE T M AY K S S AH N G L AE S IH Z,2.0 2.0 2.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
014040097.WAV,W AH T AH L AH V L IY SH AY N IY AH N D AH G R AW N D,2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
014040109.WAV,K EY S IY K AE N S IY DH AH P EH T SH AH P,2.0 1.6 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.4 2.0 2.0 2.0 2.0
014040111.WAV,M AY K W AH Z W AO K IH NG T UW S AY AH N S M Y UW Z IY AH M,2.0 2.0 2.0 1.2 0.0 1.2 0.0 0.0 0.0 0.0 0.0 2.0 1.6 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
014040122.WAV,HH EY W AH CH AW T F AO R M AY K Y UW K AH M B ER,1.6 0.8 0.4 0.0 0.0 0.8 0.8 0.0 0.0 0.0 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8
014040124.WAV,HH IY L AH V AE N D F ER S T,2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8
014040145.WAV,S AE N D IY L AY K S DH AH IH NG G L IH SH K L AA S AE T S K UW L,2.0 2.0 2.0 2.0 1.6 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.6 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0
014040148.WAV,HH IY L AY K S DH AH F EY M AH S S IH T IY S IH D N IY,2.0 0.8 1.6 1.6 1.2 1.4 0.0 0.4 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8
014040152.WAV,M AY G R AE N M AA IH Z HH AE P IY T UW,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.4 2.0 2.0 2.0 2.0
014040155.WAV,OW M AY B R AH DH ER S CH AY L D,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.4 1.6 1.2 2.0
014070040.WAV,M AY W ER K IH Z G OW IH NG T UW B IY K AH T AW T F AO M IY,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
014070080.WAV,DH AH P IY P L W ER V EH R IY F R EH N D L IY,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
014070092.WAV,DH AE T S AH V EH R IY S M AO L AH M AW N T AH V M AH N IY,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.2 2.0 1.6 1.6 1.2 2.0 2.0 2.0 2.0 2.0 2.0
014070101.WAV,DH AH N IY D IH Z T UW M EY K DH IH S M AO IH F EH K T IH V,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.6 2.0 2.0 2.0 1.4 2.0 1.8 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0
014070159.WAV,AY N OW AH L AH T AH V DH OW Z,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8
014070207.WAV,W EH L K AH M AE N D HH AE V AH G R EY T W IY K EH N D,2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.4 2.0 1.6 2.0 2.0
014070217.WAV,L EH T S G OW T UW DH AH SH IH P,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.6 2.0
014070239.WAV,F AH N T UW P R AE K T IH S IH N G AA R D N,2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0
014070248.WAV,L AH V AE Z M AH CH AE Z W IY D UH,2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 1.8 2.0 1.6
014070265.WAV,DH AE T S HH AW DH EY S EY IH T IH N S AW TH,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
014070270.WAV,B AE T S N IY D T UW G EH T G OW IH NG,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0
014070281.WAV,G UH D L AH K T UW EH V R IY W AH N EH L S IH N DH AH DH IH S,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.6 2.0 2.0
014070297.WAV,G UH D M AO N IH NG HH OW P Y UW HH AE V AH W AH N D AH F L D EY T AH D EY,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.0 2.0 2.0 2.0 1.6
014070304.WAV,W IH L DH AH K IH NG Z HH AE V AH CH AE N S T UW R IH P IY T,1.6 1.6 1.0 0.8 1.2 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.6 2.0 2.0 2.0 2.0 2.0
014070308.WAV,DH AE T IH Z AY AA S K K W EH S CH AH N Z AE N D G AH D AA N S AH Z,2.0 2.0 2.0 2.0 1.8 1.8 2.0 2.0 1.6 2.0 2.0 2.0 1.6 1.8 2.0 2.0 1.4 2.0 2.0 2.0 2.0 2.0 1.4 2.0 2.0 2.0 2.0 1.6
014070336.WAV,N EH K S T Y IH AH W IH L B IY D IH F R AH N T SH IY TH AO T,2.0 2.0 2.0 2.0 2.0 2.0 1.8 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.6 1.2 1.6 0.4 2.0 1.6
014070341.WAV,AH V AO L S AH B JH EH K T S AH V D IH S K AH SH N DH IH S IH Z DH AH M OW S T D IH F IH K AH L T,1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.6 2.0 0.4 0.4 2.0 2.0 2.0 2.0 0.4 0.0 0.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 1.6 1.6 2.0 2.0 2.0 1.6 2.0 2.0 1.6 1.6 2.0 2.0 2.0 2.0
014070343.WAV,N AW HH IY W AH Z B AO R D AE N D AO L S OW AE NG G R IY,2.0 1.8 2.0 2.0 2.0 2.0 1.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.6 2.0 2.0 2.0 2.0
014070349.WAV,HH IY IH Z N AH T Y UW Z D T AO K IH NG DH IH S W EY W IH DH AH W UH M AH N,2.0 1.8 2.0 2.0 2.0 2.0 2.0 1.8 1.8 1.4 1.8 2.0 2.0 2.0 2.0 2.0 1.0 1.2 1.2 2.0 1.4 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0
014070358.WAV,DH AE T S W AH T S DH AH M AE T ER W IH DH HH IH M N AW,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 1.6 2.0 2.0 2.0 1.6 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0
014080008.WAV,IH T IH Z S AH M TH IH NG V EH R IY D IH F R AH N T,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
014080073.WAV,HH IY W AH Z D R AY V IH NG DH AH K AA,2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
014080091.WAV,HH IY L AH S T F AO DH AH F IY L Z T AY M IH N F AY V,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.6 1.6 1.6 1.4 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
014080103.WAV,AH F Y UW Y ER Z AH G OW DH EY W ER T UW,2.0 2.0 1.6 1.6 2.0 2.0 1.6 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
